CryptoSwift.o                                      			0.57M
Bugly[arm64][2]                                    			0.49M
Runner_lto.o                                       			0.23M
objc-stubs-file                                    			0.22M
objc-file                                          			0.20M
BCBase.o                                           			0.13M
libJVerification.a[16]                             			0.11M
BCCookieStorage.o                                  			0.10M
UMAPM[97]                                          			0.10M
libWechatOpenSDK.a[arm64][6]                       			0.10M
libspeechsdk.a[arm64][256]                         			0.09M
OAuth[9]                                           			0.08M
libWechatOpenSDK.a[arm64][13]                      			0.08M
libJPush.a[5]                                      			0.07M
SnapKit.o                                          			0.07M
UMDevice[arm64][2]                                 			0.07M
UMCommon[9]                                        			0.06M
EAccountApiSDK[11]                                 			0.06M
libspeechsdk.a[arm64][265]                         			0.05M
BCBizCommon.o                                      			0.05M
libJPush.a[57]                                     			0.05M
EBMCardContentCell.o                               			0.05M
libJPush.a[10]                                     			0.05M
WebViewController.o                                			0.05M
libWechatOpenSDK.a[arm64][9]                       			0.05M
UMAPM[33]                                          			0.04M
libJVerification.a[20]                             			0.04M
libJCore.a[124]                                    			0.04M
UMAPM[63]                                          			0.04M
EvidenceData.o                                     			0.04M
libJVerification.a[22]                             			0.04M
libJCore.a[147]                                    			0.04M
libWechatOpenSDK.a[arm64][12]                      			0.04M
BCSharePanel.o                                     			0.04M
libJCore.a[115]                                    			0.04M
libJCore.a[73]                                     			0.04M
libspeechsdk.a[arm64][245]                         			0.04M
EBMCitationsVC.o                                   			0.04M
libspeechsdk.a[arm64][226]                         			0.04M
BCPageImp.o                                        			0.04M
libspeechsdk.a[arm64][267]                         			0.04M
MainInputVC.o                                      			0.03M
libJCore.a[131]                                    			0.03M
libJPushExtension.a[6]                             			0.03M
libJPush.a[54]                                     			0.03M
BCShareVM.o                                        			0.03M
FileListView.o                                     			0.03M
UMAPM[91]                                          			0.03M
libJPush.a[43]                                     			0.03M
UMCommon[12]                                       			0.03M
libJPush.a[38]                                     			0.03M
libspeechsdk.a[arm64][258]                         			0.03M
libspeechsdk.a[arm64][228]                         			0.03M
libJCore.a[97]                                     			0.03M
AppDelegate.o                                      			0.03M
libJCore.a[86]                                     			0.03M
EBMCardVC.o                                        			0.03M
libspeechsdk.a[arm64][280]                         			0.03M
UMCommon[56]                                       			0.03M
libJCore.a[127]                                    			0.03M
UMAPM[20]                                          			0.03M
EAccountApiSDK[15]                                 			0.03M
UMCommon[43]                                       			0.03M
libJCore.a[54]                                     			0.03M
libJCore.a[142]                                    			0.03M
libJVerification.a[23]                             			0.03M
libspeechsdk.a[arm64][80]                          			0.03M
UMCommon[44]                                       			0.03M
OAuth[3]                                           			0.03M
libspeechsdk.a[arm64][250]                         			0.03M
MainInputView.o                                    			0.03M
libJVerification.a[28]                             			0.03M
libSpeechEngineToB_SpeechEngineToB_awesome_ios.a[arm64][2] 			0.02M
libJPush.a[6]                                      			0.02M
libJCore.a[48]                                     			0.02M
libWechatOpenSDK.a[arm64][4]                       			0.02M
libspeechsdk.a[arm64][301]                         			0.02M
libJCore.a[116]                                    			0.02M
libJPush.a[12]                                     			0.02M
EAccountApiSDK[22]                                 			0.02M
libJCore.a[31]                                     			0.02M
EAccountApiSDK[30]                                 			0.02M
BCNetwork.o                                        			0.02M
libJPush.a[52]                                     			0.02M
libWechatOpenSDK.a[arm64][7]                       			0.02M
libJCore.a[89]                                     			0.02M
libJCore.a[40]                                     			0.02M
BCIndicatorView.o                                  			0.02M
UMCommon[50]                                       			0.02M
EBMCardModel.o                                     			0.02M
libspeechsdk.a[arm64][284]                         			0.02M
libspeechsdk.a[arm64][212]                         			0.02M
EAccountApiSDK[4]                                  			0.02M
BCURLSchemeHandler.o                               			0.02M
BCUser.o                                           			0.02M
libJVerification.a[32]                             			0.02M
libJPush.a[58]                                     			0.02M
libJCore.a[65]                                     			0.02M
BCHybridManager.o                                  			0.02M
UMAPM[130]                                         			0.02M
UMAPM[64]                                          			0.02M
account_login_sdk_noui_core[arm64][3]              			0.02M
UMCommon[32]                                       			0.02M
libWechatOpenSDK.a[arm64][2]                       			0.02M
AsrClient.o                                        			0.02M
libJCore.a[33]                                     			0.02M
UMAPM[43]                                          			0.02M
libJCore.a[113]                                    			0.02M
libJPush.a[2]                                      			0.02M
libWechatOpenSDK.a[arm64][11]                      			0.02M
libJCore.a[112]                                    			0.02M
EAccountApiSDK[29]                                 			0.02M
libJPush.a[19]                                     			0.02M
TYRZUISDK[arm64][12]                               			0.02M
UMAPM[117]                                         			0.02M
libJPush.a[49]                                     			0.02M
libJCore.a[75]                                     			0.02M
TYRZUISDK[arm64][33]                               			0.02M
libJCore.a[49]                                     			0.02M
BCLeftMenuView.o                                   			0.02M
libspeechsdk.a[arm64][243]                         			0.02M
